0	4
0	5
0	7
0	12
4	1
4	9
4	15
5	2
5	10
5	9
7	3
7	10
7	16
12	15
12	11
12	16
9	6
10	8
16	14
15	13
1	6
6	2
2	8
8	3
3	14
14	11
11	13
13	1
17	21
17	22
17	24
17	29
21	18
21	26
21	32
22	19
22	27
22	26
24	20
24	27
24	33
29	32
29	28
29	33
26	23
27	25
33	31
32	30
18	23
23	19
19	25
25	20
20	31
31	28
28	30
30	18
34	38
34	39
34	41
34	46
38	35
38	43
38	49
39	36
39	44
39	43
41	37
41	44
41	50
46	49
46	45
46	50
43	40
44	42
50	48
49	47
35	40
40	36
36	42
42	37
37	48
48	45
45	47
47	35
51	55
51	56
51	58
51	63
55	52
55	60
55	66
56	53
56	61
56	60
58	54
58	61
58	67
63	66
63	62
63	67
60	57
61	59
67	65
66	64
52	57
57	53
53	59
59	54
54	65
65	62
62	64
64	52
68	72
68	73
68	75
68	80
72	69
72	77
72	83
73	70
73	78
73	77
75	71
75	78
75	84
80	83
80	79
80	84
77	74
78	76
84	82
83	81
69	74
74	70
70	76
76	71
71	82
82	79
79	81
81	69
85	89
85	90
85	92
85	97
89	86
89	94
89	100
90	87
90	95
90	94
92	88
92	95
92	101
97	100
97	96
97	101
94	91
95	93
101	99
100	98
86	91
91	87
87	93
93	88
88	99
99	96
96	98
98	86
102	106
102	107
102	109
102	114
106	103
106	111
106	117
107	104
107	112
107	111
109	105
109	112
109	118
114	117
114	113
114	118
111	108
112	110
118	116
117	115
103	108
108	104
104	110
110	105
105	116
116	113
113	115
115	103
119	123
119	124
119	126
119	131
123	120
123	128
123	134
124	121
124	129
124	128
126	122
126	129
126	135
131	134
131	130
131	135
128	125
129	127
135	133
134	132
120	125
125	121
121	127
127	122
122	133
133	130
130	132
132	120
0	17
4	21
5	22
7	24
12	29
9	26
10	27
16	33
15	32
1	18
2	19
3	20
11	28
6	23
8	25
14	31
13	30
17	34
21	38
22	39
24	41
29	46
26	43
27	44
33	50
32	49
18	35
19	36
20	37
28	45
23	40
25	42
31	48
30	47
34	51
38	55
39	56
41	58
46	63
43	60
44	61
50	67
49	66
35	52
36	53
37	54
45	62
40	57
42	59
48	65
47	64
51	68
55	72
56	73
58	75
63	80
60	77
61	78
67	84
66	83
52	69
53	70
54	71
62	79
57	74
59	76
65	82
64	81
68	85
72	89
73	90
75	92
80	97
77	94
78	95
84	101
83	100
69	86
70	87
71	88
79	96
74	91
76	93
82	99
81	98
85	102
89	106
90	107
92	109
97	114
94	111
95	112
101	118
100	117
86	103
87	104
88	105
96	113
91	108
93	110
99	116
98	115
102	119
106	123
107	124
109	126
114	131
111	128
112	129
118	135
117	134
103	120
104	121
105	122
113	130
108	125
110	127
116	133
115	132
